sip_uuid,bucket,am_status,package_type,size_bytes,current_location,current_path,title
9a40eb53-e51a-46b9-94ba-bf23690e4291,A,UPLOADED,AIP,213767571,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,9a40/eb53/e51a/46b9/94ba/bf23/690e/4291/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-9a40eb53-e51a-46b9-94ba-bf23690e4291.7z,
faac4f54-254c-425c-9762-96297fefe3e3,A,UPLOADED,AIP,213767705,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,faac/4f54/254c/425c/9762/9629/7fef/e3e3/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-faac4f54-254c-425c-9762-96297fefe3e3.7z,
f1959cfc-efc4-4711-854b-04800ea161a1,A,UPLOADED,AIP,213768558,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,f195/9cfc/efc4/4711/854b/0480/0ea1/61a1/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-f1959cfc-efc4-4711-854b-04800ea161a1.7z,
041b547a-80d4-46aa-8603-734fe15142ce,B,UPLOADED,AIP,5010592,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,041b/547a/80d4/46aa/8603/734f/e151/42ce/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19700302_vol74no52_transfer-041b547a-80d4-46aa-8603-734fe15142ce.7z,"Clarion, vol. 74, no. 52, 1970 March 2"
5a424260-4d07-48f4-b0ec-d5f6d0568409,B,UPLOADED,AIP,5183478,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5a42/4260/4d07/48f4/b0ec/d5f6/d056/8409/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19700213_vol74no45_transfer-5a424260-4d07-48f4-b0ec-d5f6d0568409.7z,"Clarion, vol. 74, no. 45, 1970 February 13"
f12bcd8d-eeaa-4843-93a1-63118fb93e92,B,UPLOADED,AIP,5111010,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,f12b/cd8d/eeaa/4843/93a1/6311/8fb9/3e92/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19700216_vol74no46_transfer-f12bcd8d-eeaa-4843-93a1-63118fb93e92.7z,"Clarion, vol. 74, no. 46, 1970 February 16"
b9f0c825-8fd7-4177-8074-a087225d692c,B,UPLOADED,AIP,5168539,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,b9f0/c825/8fd7/4177/8074/a087/225d/692c/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19700121_vol74no36_transfer-b9f0c825-8fd7-4177-8074-a087225d692c.7z,"Clarion, vol. 74, no. 36, 1970 January 21"
5b3cd379-29a1-426f-b45a-cde1871971d0,B,UPLOADED,AIP,4707521,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5b3c/d379/29a1/426f/b45a/cde1/8719/71d0/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19691114_vol74no23_transfer-5b3cd379-29a1-426f-b45a-cde1871971d0.7z,"Clarion, vol. 74, no. 23, 1969 November 14"
b4de1c2a-966c-401e-a92e-971b1b4ed162,B,UPLOADED,AIP,12808152,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,b4de/1c2a/966c/401e/a92e/971b/1b4e/d162/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431203_vol48no10_transfer-b4de1c2a-966c-401e-a92e-971b1b4ed162.7z,"Clarion, vol. 48, no. 10, 1943 December 3"
ace774d5-1064-4155-8926-a9a2fe6229e9,B,UPLOADED,AIP,13052133,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,ace7/74d5/1064/4155/8926/a9a2/fe62/29e9/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440114_vol48no11_transfer-ace774d5-1064-4155-8926-a9a2fe6229e9.7z,"Clarion, vol. 48, no. 11, 1944 January 14"
51068719-c9d6-46e6-924a-8f96d7505f80,B,UPLOADED,AIP,12469030,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5106/8719/c9d6/46e6/924a/8f96/d750/5f80/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440602_vol48no28_transfer-51068719-c9d6-46e6-924a-8f96d7505f80.7z,"Clarion, vol. 48, no. 28, 1944 June 2"
